"term","estimate","std.error","statistic","p.value","significance","step","outcome","R2","R2_p_value","R2_annotated","N","R2_change","F_change","p_value","dataset","significance_d_cleaned","significance_d_with_outliers","significance_difference"
"(Intercept)","0",0.052434679163486,0.0668475085058425,0.946739110569119,"","Step 2","Negative_assertion",0.01,0.376826882458353,"0.01",377,NA,NA,NA,"d_cleaned_step3","","","No"
"Helicopter_parenting","-0.09",0.0523502257079587,-1.70323008723363,0.0893624909099391,"","Step 2","Negative_assertion",0.01,0.376826882458353,"0.01",377,NA,NA,NA,"d_cleaned_step3","","","No"
"Reciprocal_filial_piety","0.02",0.0561303057655375,0.443708048697379,0.657512335244378,"","Step 2","Negative_assertion",0.01,0.376826882458353,"0.01",377,NA,NA,NA,"d_cleaned_step3","","","No"
"Authoritarian_filial_piety","0.07",0.0558288739764188,1.22498851332381,0.221356719456928,"","Step 2","Negative_assertion",0.01,0.376826882458353,"0.01",377,NA,NA,NA,"d_cleaned_step3","","","No"
"Helicopter_parenting:Reciprocal_filial_piety","0.02",0.0600086124866481,0.384570785725093,0.700775787590721,"","Step 2","Negative_assertion",0.01,0.376826882458353,"0.01",377,NA,NA,NA,"d_cleaned_step3","","","No"
"Helicopter_parenting:Authoritarian_filial_piety","-0.01",0.0654629751499445,-0.218583340819668,0.827094820391311,"","Step 2","Negative_assertion",0.01,0.376826882458353,"0.01",377,NA,NA,NA,"d_cleaned_step3","","","No"
NA,NA,NA,NA,NA,"","Step 2 vs Step 1","Negative_assertion",NA,NA,NA,NA,"0",0.076,0.927,"d_cleaned_step3","","","No"
"(Intercept)","0",0.0506203887031786,-7.7451504199342e-15,0.999999999999994,"","Step 1","Emotional_support",0.04,0.00118948664470443,"0.04**",377,NA,NA,NA,"d_cleaned_step3","","","No"
"Helicopter_parenting","-0.05",0.051397969653317,-0.988281900640842,0.323655250088422,"","Step 1","Emotional_support",0.04,0.00118948664470443,"0.04**",377,NA,NA,NA,"d_cleaned_step3","","","No"
"Reciprocal_filial_piety","0.2***",0.0546559016622087,3.73211084942454,0.000219465791608578,"***","Step 1","Emotional_support",0.04,0.00118948664470443,"0.04**",377,NA,NA,NA,"d_cleaned_step3","***","***","No"
"Authoritarian_filial_piety","-0.06",0.0546697835470541,-1.11727085533028,0.264597667476238,"","Step 1","Emotional_support",0.04,0.00118948664470443,"0.04**",377,NA,NA,NA,"d_cleaned_step3","","","No"
"(Intercept)","0",0.0516603870597725,-0.0157213095976513,0.987465177371773,"","Step 2","Emotional_support",0.04,0.00575615091216723,"0.04**",377,NA,NA,NA,"d_cleaned_step3","","","No"
"Helicopter_parenting","-0.05",0.0515771807110223,-0.943786586118624,0.345892915249788,"","Step 2","Emotional_support",0.04,0.00575615091216723,"0.04**",377,NA,NA,NA,"d_cleaned_step3","","","No"
"Reciprocal_filial_piety","0.2***",0.055301441105228,3.68193667060774,0.000265835939113801,"***","Step 2","Emotional_support",0.04,0.00575615091216723,"0.04**",377,NA,NA,NA,"d_cleaned_step3","***","***","No"
"Authoritarian_filial_piety","-0.06",0.0550044604972331,-1.09425178527136,0.274554490169388,"","Step 2","Emotional_support",0.04,0.00575615091216723,"0.04**",377,NA,NA,NA,"d_cleaned_step3","","","No"
"Helicopter_parenting:Reciprocal_filial_piety","0.02",0.0591224776700633,0.352916632026814,0.724351365385001,"","Step 2","Emotional_support",0.04,0.00575615091216723,"0.04**",377,NA,NA,NA,"d_cleaned_step3","","","No"
"Helicopter_parenting:Authoritarian_filial_piety","0.03",0.0644962968837123,0.446487548305383,0.655505600417493,"","Step 2","Emotional_support",0.04,0.00575615091216723,"0.04**",377,NA,NA,NA,"d_cleaned_step3","","","No"
NA,NA,NA,NA,NA,"","Step 2 vs Step 1","Emotional_support",NA,NA,NA,NA,"0.001",0.278,0.757,"d_cleaned_step3","","","No"
"(Intercept)","0",0.0515373351523917,3.09822089104942e-15,0.999999999999998,"","Step 1","Self_disclosure",0.01,0.477343859364829,"0.01",377,NA,NA,NA,"d_cleaned_step3","","","No"
"Helicopter_parenting","0",0.0523290013379357,0.0183223847566626,0.985391466714429,"","Step 1","Self_disclosure",0.01,0.477343859364829,"0.01",377,NA,NA,NA,"d_cleaned_step3","","","No"
